,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
132,Madagascar,64009,1384,,,231.15436813647054,2.1621959411957694,MDG,350,18
133,Guyana,63253,1226,,,8041.7362206776625,1.938247988237712,GUY,275,4
134,Sudan,61955,4907,,,141.29083885070008,7.920264708255992,SDN,417,995
135,Barbados,59272,374,,,20625.602444227152,0.6309893372924821,BRB,3537,15
136,Mauritania,58669,982,,,1261.7911847317869,1.673797064889465,MRT,30,3
137,Belize,57280,654,,,14405.677768528318,1.1417597765363128,BLZ,461,4
138,Cabo Verde,55952,401,,,10063.526550932756,0.7166857306262511,CPV,61,0
139,Syria,55695,3141,,,318.2451950232497,5.639644492324266,SYR,944,58
140,Gabon,47584,303,,,2137.9072375420537,0.636768661735037,GAB,41,0
141,Papua New Guinea,43203,640,,,482.87548478393995,1.4813786079670392,PNG,1868,2
142,Seychelles,40421,164,,,41103.315029489524,0.4057296949605403,SYC,1018,1
143,Andorra,40024,153,,,51800.944800362384,0.3822706376174295,AND,1775,2
144,Burundi,38509,38,,,323.85593511477504,0.09867823106286842,BDI,363,0
145,Togo,36939,272,,,446.1912487375792,0.736349116110344,TGO,122,0
146,Guinea,36459,440,,,277.61804192132183,1.206835075015771,GIN,62,0
147,Tanzania,33815,800,,,56.60909937827422,2.365813987875203,TZA,195,2
148,Bahamas,33283,788,,,8463.615835299861,2.3675750383078453,BHS,108,17
149,Lesotho,32910,697,,,1536.2338324342795,2.1178972956548163,LSO,287,1
150,Haiti,30547,833,,,267.89661560286646,2.7269453628834257,HTI,195,13
151,Mali,30484,727,,,150.5320719136802,2.3848576302322533,MLI,89,5
152,Bhutan,28101,10,,,3641.85626973142,0.03558592220917405,BTN,13428,4
153,Benin,26952,163,,,222.31757659983776,0.6047788661323835,BEN,385,0
154,Somalia,26410,1361,,,166.17149741660262,5.153351003407799,SOM,59,13
155,Congo (Brazzaville),24071,385,,,436.219620839957,1.5994350047775332,COG,49,6
156,Taiwan*,23393,853,,,98.22068688980772,3.646389945710255,TWN,2573,0
157,Saint Lucia,22953,365,,,12499.65963981724,1.5902060732801813,LCA,224,5
158,Timor-Leste,22830,130,,,1731.589254589887,0.5694261936049059,TLS,98,1
159,Burkina Faso,20853,382,,,99.759473131439,1.8318707140459407,BFA,102,7
160,Nicaragua,18434,230,,,278.2677898013964,1.247694477595747,NIC,329,5
161,Tajikistan,17786,125,,,186.4821514584003,0.7027999550208028,TJK,0,0
162,South Sudan,17262,138,,,154.21134458409702,0.7994438651372958,SSD,248,1
163,Liechtenstein,16378,84,,,42945.1713559011,0.512883135914031,LIE,4125,6
164,Equatorial Guinea,16000,183,,,1140.4255925758293,1.14375,GNQ,115,0
165,Djibouti,15587,189,,,1577.628385367641,1.2125489189709373,DJI,38,0
166,San Marino,15345,113,,,45214.803465142315,0.736396220267188,SMR,872,1
167,Central African Republic,14649,113,,,303.3067454227578,0.7713837121987849,CAF,424,0
168,Grenada,14012,218,,,12453.0079364374,1.555809306308878,GRD,308,2
169,Gambia,11988,365,,,496.0557197856218,3.0447113780447115,GMB,49,0
170,Dominica,11859,63,,,16472.89244488894,0.5312420946116874,DMA,731,6
171,Yemen,11806,2143,,,39.58295670403725,18.151787226833815,YEM,34,8
172,Solomon Islands,11470,133,,,1756.8904723538653,1.1595466434176112,SLB,3916,27
173,Monaco,10758,54,,,27413.107736214453,0.501952035694367,MCO,1276,3
174,Eritrea,9728,103,,,274.3042504469992,1.0587993421052628,ERI,22,0
175,Niger,8801,308,,,36.357798745765415,3.4996023179184186,NER,42,1
176,Saint Vincent and the Grenadines,8335,106,,,7512.596104446267,1.271745650869826,VCT,24,0
177,Guinea-Bissau,8149,170,,,414.0756240605937,2.086145539329979,GNB,122,3
178,Comoros,8086,160,,,929.8581523582816,1.9787286668315611,COM,53,0
179,Sierra Leone,7674,125,,,96.20176043956457,1.6288767266093302,SLE,9,0
